Index,Molecule,Smile
0,Sucrose,OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O
1,Galactose,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O
2,Arabinose,OC1OC[C@H](O)[C@H](O)[C@H]1O
3,Glucose,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
4,Fructose,OCC1(O)OC[C@@H](O)[C@@H](O)[C@@H]1O
5,Xylose,OC1OC[C@@H](O)[C@H](O)[C@H]1O
6,D-Glucaric acid,O=C(O)[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)O
7,Adipic acid,O=C(O)CCCCC(=O)O
8,Furfuryl alcohol,OCc1ccco1
9,UDP-Glucose,O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1
10,Furfural,O=Cc1ccco1
11,Dienediol,OC=C1C=CC(O)(CO)O1
12,3-Ketoglucose,O=C1[C@@H](O)C(O)O[C@H](CO)[C@H]1O
13,Xylitol,OCC(O)C(O)C(O)CO
14,"D-Xylono-1,4-lactone",O=C1O[C@H](CO)[C@H](O)[C@H]1O
15,"2,5-Bis-(hydroxymethyl)-furan",OCc1ccc(CO)o1
16,UDP-Rhamnose,C[C@@H]1O[C@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O
17,5-Chloromethylfurfural,O=Cc1ccc(CCl)o1
18,Naringenin 4'-O-glucoside,O=C1CC(c2ccc(OC3OC(CO)C(O)C(O)C3O)cc2)Oc2cc(O)cc(O)c21
19,5-Hydroxymethylfurfural,O=Cc1ccc(CO)o1
20,"2,5-Furandicarboxylic acid",O=C(O)c1ccc(C(=O)O)o1
21,Kojic acid,O=c1cc(CO)occ1O
22,D-Xylonic acid,O=C(O)[C@H](O)[C@@H](O)[C@H](O)CO
23,Glycolic acid,O=C(O)CO
24,Terphthalic acid,COC(=O)c1ccc(C(=O)O)cc1
25,Tricabonyl intermediate,CC(=O)C=CC(=O)C=O
26,"Dimethyl 2,5-furandicarboxylic acid",Cc1c(C(=O)O)oc(C(=O)O)c1C
27,Ethylene glycol,OCCO
28,Quercetin 7-O-rhamnoside,C[C@@H]1O[C@@H](Oc2cc(O)c3c(=O)c(O)c(-c4ccc(O)c(O)c4)oc3c2)[C@H](O)[C@H](O)[C@H]1O
29,Levulinic acid,CC(=O)CCC(=O)O
30,4-Hydroxyvaleric acid,CC(O)CCC(=O)O
31,"1,2,4-Butanetriol",OCCC(O)CO
32,"1,4-Butanediol",OCCCCO
33,Beta-Angelica lactone,CC1C=CC(=O)O1
34,4-Valerolactone,CC1CCC(=O)O1
35,3-Hydroxytetrahydrofuran,OC1CCOC1
36,Fosamprenavir,CC(C)CN(C[C@@H](OP(=O)(O)O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1
37,"3,4-Epoxytetrahydrofuran",C1OCC2OC12
38,trans-4-Amino-3-hydroxytetrahydrofuran,NC1COCC1O
39,Phenol,Oc1ccccc1
40,Diphenolic acid,CC(CCC(=O)O)(c1ccc(O)cc1)c1ccc(O)cc1
41,Bisphenol A,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1
42,Propanol,CCCO
43,Methylacrylate,C=CC(=O)OC
44,4-Hydroxy-2-oxohexanoic acid,CCC(O)CC(=O)C(=O)O
45,Acrylic acid,C=CC(=O)O
46,Adiponitrile,N#CCCCCC#N
47,Methyl aminolevulinate,COC(=O)CCC(=O)CN
48,"4,5-Dioxopentanoate",O=CC(=O)CCC(=O)O
49,3-Hydroxypropionic acid,O=C(O)CCO
50,Acrylonitrile,C=CC#N
51,Malonic acid,O=C(O)CC(=O)O
52,4-Hydroxy-3-hexanone,CCC(=O)C(O)CC
53,"1,3-Propanediol",OCCCO
54,3-Hydroxypropylamine,NCCCO
55,5-Aminolevulinate,NCC(=O)CCC(=O)O
56,Glycidol,OCC1CO1
57,Glycine,NCC(=O)O
58,L-Serine,N[C@@H](CO)C(=O)O
59,O-Phospho-L-serine,N[C@@H](COP(=O)(O)O)C(=O)O
60,3-Phosphooxypyruvate,O=C(O)C(=O)COP(=O)(O)O
61,Dipropylene glycol,CC(O)COCC(C)O
62,Propanal,CCC=O
63,3-Hydroxypropanal,O=CCCO
64,Epichlorohydrin,ClCC1CO1
65,Glycerol carbonate,O=C1OCC(CO)O1
66,Allyl alcohol,C=CCO
67,Propylene oxide,CC1CO1
68,Acetone,CC(C)=O
69,Glycerol,OCC(O)CO
70,Ethanolamine,NCCO
71,D-Glyceraldehyde,O=C[C@H](O)CO
72,D-Glycerate,O=C(O)[C@H](O)CO
73,Dermatan,CC(=O)NC1C(O)OC(CO)C(O)C1OC1OC(C(=O)O)C(O)C(O)C1O
74,Chondroitin,CC(=O)NC1C(O)OC(CO)C(O)C1OC1OC(C(=O)O)=CC(O)C1O
75,Hyaluronic acid,CC(=O)NC1C(O)OC(CO)C(O)C1OC1OC(C(=O)O)C(OC2OC(CO)C(O)C(OC3OC(C(=O)O)C(O)C(O)C3O)C2NC(C)=O)C(O)C1O
76,Acetol,CC(=O)CO
77,Glycerone,O=C(CO)CO
78,Glycerol-3-phosphate,O=P(O)(O)OCC(O)CO
79,Uridine diphosphate N-acetylgalactosamine,CC(=O)N[C@H]1C(OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@H](O)[C@@H]1O
80,Uridine diphosphate glucuronic acid,O=C(O)[C@H]1O[C@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
